Gene stable ID,Transcript stable ID,Gene name
ENSG00000281603,ENST00000626081,MUC20-OT1
ENSG00000281603,ENST00000626475,MUC20-OT1
ENSG00000281603,ENST00000630306,MUC20-OT1
ENSG00000281603,ENST00000625708,MUC20-OT1
ENSG00000281603,ENST00000628169,MUC20-OT1
ENSG00000281603,ENST00000628946,MUC20-OT1
ENSG00000281603,ENST00000627322,MUC20-OT1
ENSG00000281603,ENST00000630408,MUC20-OT1
ENSG00000281603,ENST00000626504,MUC20-OT1
ENSG00000281603,ENST00000626442,MUC20-OT1
ENSG00000281603,ENST00000628585,MUC20-OT1
ENSG00000281603,ENST00000630562,MUC20-OT1
ENSG00000281603,ENST00000630398,MUC20-OT1
ENSG00000281603,ENST00000626562,MUC20-OT1
ENSG00000281603,ENST00000626786,MUC20-OT1
ENSG00000281603,ENST00000625773,MUC20-OT1
ENSG00000281603,ENST00000627826,MUC20-OT1
ENSG00000281603,ENST00000625502,MUC20-OT1
ENSG00000281603,ENST00000627373,MUC20-OT1
ENSG00000281603,ENST00000630333,MUC20-OT1
ENSG00000281603,ENST00000627410,MUC20-OT1
ENSG00000281603,ENST00000627492,MUC20-OT1
ENSG00000281603,ENST00000625397,MUC20-OT1
ENSG00000281603,ENST00000630805,MUC20-OT1
ENSG00000281603,ENST00000626033,MUC20-OT1
ENSG00000281603,ENST00000630802,MUC20-OT1
ENSG00000281603,ENST00000628262,MUC20-OT1
ENSG00000281603,ENST00000630960,MUC20-OT1
ENSG00000281603,ENST00000629748,MUC20-OT1
ENSG00000281603,ENST00000625907,MUC20-OT1
ENSG00000281603,ENST00000628387,MUC20-OT1
ENSG00000281603,ENST00000629622,MUC20-OT1
ENSG00000281603,ENST00000626260,MUC20-OT1
ENSG00000281603,ENST00000630735,MUC20-OT1
ENSG00000281603,ENST00000628316,MUC20-OT1
ENSG00000281603,ENST00000626201,MUC20-OT1
ENSG00000281603,ENST00000629444,MUC20-OT1
ENSG00000281603,ENST00000626077,MUC20-OT1
ENSG00000281603,ENST00000627853,MUC20-OT1
ENSG00000281603,ENST00000629420,MUC20-OT1
ENSG00000281603,ENST00000629492,MUC20-OT1
ENSG00000281603,ENST00000630581,MUC20-OT1
ENSG00000281603,ENST00000628737,MUC20-OT1
ENSG00000281603,ENST00000630094,MUC20-OT1
ENSG00000281603,ENST00000627335,MUC20-OT1
ENSG00000281603,ENST00000627594,MUC20-OT1
ENSG00000281603,ENST00000628632,MUC20-OT1
ENSG00000281603,ENST00000627712,MUC20-OT1
ENSG00000281603,ENST00000625611,MUC20-OT1
ENSG00000281603,ENST00000628026,MUC20-OT1
ENSG00000281603,ENST00000627556,MUC20-OT1
ENSG00000281603,ENST00000626803,MUC20-OT1
ENSG00000281603,ENST00000627876,MUC20-OT1
ENSG00000281603,ENST00000625941,MUC20-OT1
ENSG00000281603,ENST00000630382,MUC20-OT1
ENSG00000281603,ENST00000631304,MUC20-OT1
